Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
smoketest,,neighbour smoke test,,2019-10-22 17:43:15,2019-10-22 18:01:36,18m - 20.970s,INCOMPLETE
,,,,,,,
Test Cases/Create_Poll,,,,2019-10-22 17:43:15,2019-10-22 17:44:24,1m - 8.579s,PASSED
"startApplication(apk, true)",,,,2019-10-22 17:43:15,2019-10-22 17:43:36,20.817s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-22 17:43:36,2019-10-22 17:43:41,4.765s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN""), 0)",,,,2019-10-22 17:43:41,2019-10-22 17:43:43,2.064s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-10-22 17:43:43,2019-10-22 17:43:44,1.441s,PASSED
"setText(findTestObject(""Create_poll/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-10-22 17:43:44,2019-10-22 17:43:46,1.962s,PASSED
"tap(findTestObject(""Create_poll/android.widget.ImageButton0""), 0)",,,,2019-10-22 17:43:46,2019-10-22 17:43:48,1.543s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-10-22 17:43:48,2019-10-22 17:43:49,1.654s,PASSED
"tap(findTestObject(""Create_poll/android.widget.FrameLayout0""), 0)",,,,2019-10-22 17:43:49,2019-10-22 17:43:56,6.088s,PASSED
"tap(findTestObject(""Create_poll/android.widget.TextView0 - Poll""), 0)",,,,2019-10-22 17:43:56,2019-10-22 17:43:57,1.664s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Ask a question.""), ""Neighbourhood Automation using katalon "", 0)",,,,2019-10-22 17:43:57,2019-10-22 17:43:59,1.341s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 1 (Max 25 chars)""), ""yes"", 0)",,,,2019-10-22 17:43:59,2019-10-22 17:44:01,2.576s,PASSED
"setText(findTestObject(""Create_Poll_1/android.widget.EditText0 - Option 2 (Max 25 chars)""), ""no"", 0)",,,,2019-10-22 17:44:01,2019-10-22 17:44:04,2.599s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - 1 Week""), 0)",,,,2019-10-22 17:44:04,2019-10-22 17:44:08,3.919s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - 1 Day""), 0)",,,,2019-10-22 17:44:08,2019-10-22 17:44:09,1.093s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-10-22 17:44:09,2019-10-22 17:44:10,1.405s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - NEXT (1)""), 0)",,,,2019-10-22 17:44:10,2019-10-22 17:44:12,1.657s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.FrameLayout0 (1)""), 0)",,,,2019-10-22 17:44:12,2019-10-22 17:44:16,4.428s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.LinearLayout0""), 0)",,,,2019-10-22 17:44:16,2019-10-22 17:44:20,3.927s,PASSED
"tap(findTestObject(""Create_Poll_1/android.widget.TextView0 - Yes""), 0)",,,,2019-10-22 17:44:20,2019-10-22 17:44:22,1.380s,PASSED
closeApplication(),,,,2019-10-22 17:44:22,2019-10-22 17:44:24,2.068s,PASSED
,,,,,,,
Test Cases/User_Edit _Location,,,,2019-10-22 17:44:24,2019-10-22 17:45:25,1m - 1.287s,PASSED
"startApplication(apk, true)",,,,2019-10-22 17:44:24,2019-10-22 17:44:43,18.838s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-22 17:44:43,2019-10-22 17:44:47,4.296s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - LOGIN""), 0)",,,,2019-10-22 17:44:47,2019-10-22 17:44:48,1.519s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - Email ID""), ""sudheer@mailnesia.com"", 0)",,,,2019-10-22 17:44:48,2019-10-22 17:44:50,1.429s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - Password""), ""1234567"", 0)",,,,2019-10-22 17:44:50,2019-10-22 17:44:52,2.503s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.ImageButton0""), 0)",,,,2019-10-22 17:44:52,2019-10-22 17:44:54,1.539s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - LOGIN (1)""), 0)",,,,2019-10-22 17:44:54,2019-10-22 17:44:55,1.436s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.FrameLayout0""), 0)",,,,2019-10-22 17:44:55,2019-10-22 17:45:00,5.114s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Settings""), 0)",,,,2019-10-22 17:45:00,2019-10-22 17:45:02,1.993s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Account""), 0)",,,,2019-10-22 17:45:02,2019-10-22 17:45:04,1.668s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Location""), 0)",,,,2019-10-22 17:45:04,2019-10-22 17:45:05,1.090s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - EDIT LOCATION""), 0)",,,,2019-10-22 17:45:05,2019-10-22 17:45:08,2.670s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - HOUSEFLAT.NO""), ""Near Kondapur Flot no 6_155/A"", 0)",,,,2019-10-22 17:45:08,2019-10-22 17:45:09,1.501s,PASSED
"setText(findTestObject(""User_Edit_Location/android.widget.EditText0 - LANDMARK""), ""Near RDO office "", 0)",,,,2019-10-22 17:45:09,2019-10-22 17:45:11,2.014s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - SAVE AND PROCEED""), 0)",,,,2019-10-22 17:45:11,2019-10-22 17:45:13,2.096s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - CONFIRM LOCATION""), 0)",,,,2019-10-22 17:45:13,2019-10-22 17:45:16,2.551s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.ImageView0""), 0)",,,,2019-10-22 17:45:16,2019-10-22 17:45:18,1.673s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.LinearLayout0""), 0)",,,,2019-10-22 17:45:18,2019-10-22 17:45:22,3.892s,PASSED
"tap(findTestObject(""User_Edit_Location/android.widget.TextView0 - Yes""), 0)",,,,2019-10-22 17:45:22,2019-10-22 17:45:23,1.340s,PASSED
closeApplication(),,,,2019-10-22 17:45:23,2019-10-22 17:45:25,2.006s,PASSED
,,,,,,,
Test Cases/Explore_All Members,,,,2019-10-22 17:45:25,2019-10-22 17:45:25,0.257s,FAILED
"startApplication(apk, true)",,,,2019-10-22 17:45:25,2019-10-22 17:45:25,0.155s,FAILED
,,,,,,,
Test Cases/Post_Buy,,,,2019-10-22 17:45:25,2019-10-22 17:46:26,1m - 1.101s,PASSED
"startApplication(apk, true)",,,,2019-10-22 17:45:25,2019-10-22 17:45:44,18.470s,PASSED
"tap(findTestObject(""Post_Buy/android.widget.TextView0 - NEXT""), 0)",,,,2019-10-22 17:45:44,2019-10-22 17:45:48,4.288s,PASSED
